index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-43db14ef-15e7-0c43-1a35-c81191c2a009,546.17,NVIDIA GeForce RTX 4070,[N/A],Enabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,12282,9729,2296,2024/03/11 18:11:49.365
0,1,12282,9729,2296,2024/03/11 18:12:19.418
0,10,12282,9729,2296,2024/03/11 18:12:49.465
0,5,12282,9729,2296,2024/03/11 18:13:19.521
0,1,12282,9729,2296,2024/03/11 18:13:49.573
0,0,12282,9729,2296,2024/03/11 18:14:19.622
0,9,12282,9729,2296,2024/03/11 18:14:49.676
0,51,12282,9729,2296,2024/03/11 18:15:19.731
0,9,12282,9729,2296,2024/03/11 18:15:49.776
0,0,12282,9729,2296,2024/03/11 18:16:19.831
0,0,12282,9729,2296,2024/03/11 18:16:49.892
0,0,12282,9729,2296,2024/03/11 18:17:19.932
0,0,12282,9729,2296,2024/03/11 18:17:49.978
0,3,12282,9729,2296,2024/03/11 18:18:20.020
0,0,12282,9729,2296,2024/03/11 18:18:50.061
0,73,12282,9729,2296,2024/03/11 18:19:20.103
0,62,12282,9729,2296,2024/03/11 18:19:50.151
0,0,12282,9729,2296,2024/03/11 18:20:20.205
0,1,12282,9729,2296,2024/03/11 18:20:50.262
0,28,12282,9729,2296,2024/03/11 18:21:20.312
0,0,12282,9729,2296,2024/03/11 18:21:50.376
0,42,12282,9729,2296,2024/03/11 18:22:20.420
0,71,12282,9729,2296,2024/03/11 18:22:50.461
0,2,12282,9729,2296,2024/03/11 18:23:20.521
0,4,12282,9729,2296,2024/03/11 18:23:50.560
0,0,12282,9729,2296,2024/03/11 18:24:20.602
0,0,12282,9729,2296,2024/03/11 18:24:50.644
0,1,12282,9729,2296,2024/03/11 18:25:20.708
0,6,12282,9729,2296,2024/03/11 18:25:50.758
0,1,12282,9729,2296,2024/03/11 18:26:20.805
0,3,12282,9729,2296,2024/03/11 18:26:50.861
